ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,SI_last
IRQ,Iraq,NA,NA,NA,NA,NA,NA
ISL,Iceland,NA,NA,NA,NA,NA,NA
ISR,Israel,NA,NA,NA,NA,NA,NA
ITA,Italy,NA,NA,NA,NA,NA,NA
JAM,Jamaica,13592.800000000001,-40,2,42,87.04,78.7
JOR,Jordan,NA,NA,NA,NA,NA,NA
JPN,Japan,NA,NA,NA,NA,NA,NA
KAZ,Kazakhstan,NA,NA,NA,NA,NA,NA
KEN,Kenya,NA,NA,NA,NA,NA,NA
KGZ,Kyrgyz Republic,NA,NA,NA,NA,NA,NA
KHM,Cambodia,NA,NA,NA,NA,NA,NA
KNA,St. Kitts and Nevis,NA,NA,NA,NA,NA,NA
KOR,"Korea, Rep.",NA,NA,NA,NA,NA,NA
KWT,Kuwait,NA,NA,NA,NA,NA,NA
LAO,Lao PDR,NA,NA,NA,NA,NA,NA
LBN,Lebanon,NA,NA,NA,NA,NA,NA
LBR,Liberia,NA,NA,NA,NA,NA,NA
LBY,Libya,NA,NA,NA,NA,NA,NA
LCA,St. Lucia,NA,NA,NA,NA,NA,NA
LIE,Liechtenstein,NA,NA,NA,NA,NA,NA
LKA,Sri Lanka,NA,NA,NA,NA,NA,NA
LTU,Lithuania,NA,NA,NA,NA,NA,NA
LUX,Luxembourg,NA,NA,NA,NA,NA,NA
LVA,Latvia,NA,NA,NA,NA,NA,NA
MAF,St. Martin (French part),NA,NA,NA,NA,NA,NA
MAR,Morocco,NA,NA,NA,NA,NA,NA
MCO,Monaco,NA,NA,NA,NA,NA,NA
MDA,Moldova,NA,NA,NA,NA,NA,NA
MDG,Madagascar,NA,NA,NA,NA,NA,NA
MDV,Maldives,NA,NA,NA,NA,NA,NA
MEX,Mexico,NA,NA,NA,NA,NA,NA
MKD,North Macedonia,NA,NA,NA,NA,NA,NA
MLI,Mali,NA,NA,NA,NA,NA,NA
MLT,Malta,NA,NA,NA,NA,NA,NA
MMR,Myanmar,NA,NA,NA,NA,NA,NA
MNE,Montenegro,NA,NA,NA,NA,NA,NA
MNG,Mongolia,NA,NA,NA,NA,NA,NA
MOZ,Mozambique,NA,NA,NA,NA,NA,NA
MRT,Mauritania,NA,NA,NA,NA,NA,NA
MSR,Montserrat,NA,NA,NA,NA,NA,NA
MTQ,Martinique,NA,NA,NA,NA,NA,NA
MUS,Mauritius,NA,NA,NA,NA,NA,NA
MWI,Malawi,NA,NA,NA,NA,NA,NA
MYS,Malaysia,NA,NA,NA,NA,NA,NA
MYT,Mayotte,NA,NA,NA,NA,NA,NA
NAM,Namibia,NA,NA,NA,NA,NA,NA
NCL,New Caledonia,NA,NA,NA,NA,NA,NA
NER,Niger,NA,NA,NA,NA,NA,NA
NGA,Nigeria,NA,NA,NA,NA,NA,NA
NIC,Nicaragua,NA,NA,NA,NA,NA,NA
NLD,Netherlands,NA,NA,NA,NA,NA,NA
NOR,Norway,NA,NA,NA,NA,NA,NA
NPL,Nepal,NA,NA,NA,NA,NA,NA
NZL,New Zealand,NA,NA,NA,NA,NA,NA
OMN,Oman,NA,NA,NA,NA,NA,NA
PAK,Pakistan,NA,NA,NA,NA,NA,NA
PAN,Panama,NA,NA,NA,NA,NA,NA
PER,Peru,NA,NA,NA,NA,NA,NA
PHL,Philippines,NA,NA,NA,NA,NA,NA
PNG,Papua New Guinea,NA,NA,NA,NA,NA,NA
POL,Poland,NA,NA,NA,NA,NA,NA
PRT,Portugal,NA,NA,NA,NA,NA,NA
PRY,Paraguay,NA,NA,NA,NA,NA,NA
PSE,West Bank and Gaza,NA,NA,NA,NA,NA,NA
PYF,French Polynesia,NA,NA,NA,NA,NA,NA
QAT,Qatar,NA,NA,NA,NA,NA,NA
REU,Reunion,NA,NA,NA,NA,NA,NA
ROU,Romania,NA,NA,NA,NA,NA,NA
RUS,Russian Federation,NA,NA,NA,NA,NA,NA
RWA,Rwanda,NA,NA,NA,NA,NA,NA
SAU,Saudi Arabia,NA,NA,NA,NA,NA,NA
SDN,Sudan,NA,NA,NA,NA,NA,NA
SEN,Senegal,NA,NA,NA,NA,NA,NA
SGP,Singapore,NA,NA,NA,NA,NA,NA
SLE,Sierra Leone,NA,NA,NA,NA,NA,NA
SLV,El Salvador,NA,NA,NA,NA,NA,NA
SMR,San Marino,NA,NA,NA,NA,NA,NA
SOM,Somalia,NA,NA,NA,NA,NA,NA
SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA
SRB,Serbia,NA,NA,NA,NA,NA,NA
SSD,South Sudan,NA,NA,NA,NA,NA,NA
STP,Sao Tome and Principe,NA,NA,NA,NA,NA,NA
SUR,Suriname,NA,NA,NA,NA,NA,NA
SVK,Slovak Republic,NA,NA,NA,NA,NA,NA
SVN,Slovenia,NA,NA,NA,NA,NA,NA
SWE,Sweden,NA,NA,NA,NA,NA,NA
SWZ,Eswatini,NA,NA,NA,NA,NA,NA
SXM,Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA
SYC,Seychelles,NA,NA,NA,NA,NA,NA
SYR,Syrian Arab Republic,NA,NA,NA,NA,NA,NA
TCA,Turks and Caicos Islands,11046.3,-18,-2,-2,79.63,53.7
TCD,Chad,NA,NA,NA,NA,NA,NA
TGO,Togo,NA,NA,NA,NA,NA,NA
THA,Thailand,NA,NA,NA,NA,NA,NA
TLS,Timor-Leste,NA,NA,NA,NA,NA,NA
TTO,Trinidad and Tobago,12976.81,-44,7,44,90.74,80.56
TUN,Tunisia,NA,NA,NA,NA,NA,NA
TUR,Turkey,NA,NA,NA,NA,NA,NA
TWN,Taiwan,NA,NA,NA,NA,NA,NA
TZA,Tanzania,NA,NA,NA,NA,NA,NA
UGA,Uganda,NA,NA,NA,NA,NA,NA
UKR,Ukraine,NA,NA,NA,NA,NA,NA
URY,Uruguay,NA,NA,NA,NA,NA,NA
USA,United States,NA,NA,NA,NA,NA,NA
UZB,Uzbekistan,NA,NA,NA,NA,NA,NA
VAT,Vatican,NA,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",NA,NA,NA,NA,NA,NA
VGB,British Virgin Islands,10760.845,-57,-3,151,79.63,79.63
VNM,Vietnam,NA,NA,NA,NA,NA,NA
XKX,Kosovo,NA,NA,NA,NA,NA,NA
YEM,"Yemen, Rep.",NA,NA,NA,NA,NA,NA
ZAF,South Africa,NA,NA,NA,NA,NA,NA
ZMB,Zambia,NA,NA,NA,NA,NA,NA
ZWE,Zimbabwe,NA,NA,NA,NA,NA,NA
