ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max
JAM,Jamaica,13592.800000000001,-40,2,42,87.04
JOR,Jordan,11802.465,2,15,15,100
JPN,Japan,7178.11,-8,NA,92,47.22
KAZ,Kazakhstan,13658.994999999999,-1,5,17,89.35
KEN,Kenya,14330.735,-53,2,24,88.89
KGZ,Kyrgyz Republic,14437.425,-56,-1,7,92.13
KHM,Cambodia,8306.69,40,59,73,68.52
KNA,St. Kitts and Nevis,NA,NA,NA,NA,NA
KOR,"Korea, Rep.",11194.725,11,35,77,82.41
KWT,Kuwait,14943.26,-32,16,76,100
LAO,Lao PDR,8128.4349999999995,-13,6,6,96.3
LBN,Lebanon,12513.005,-13,24,26,85.19
LBR,Liberia,13182.43,-47,6,27,87.96
LBY,Libya,15684.785,-43,-2,24,100
LCA,St. Lucia,NA,NA,NA,NA,NA
LIE,Liechtenstein,NA,NA,NA,NA,NA
LKA,Sri Lanka,11734.265,-1,49,60,100
LSO,Lesotho,11922.06,-70,-56,-45,90.74
LTU,Lithuania,9170.95,-2,17,42,87.04
LUX,Luxembourg,8458.58,5,15,17,79.63
LVA,Latvia,9414.67,-31,12,25,65.74
MAF,St. Martin (French part),NA,NA,NA,NA,NA
MAR,Morocco,13711.955,2,14,23,93.52
MCO,Monaco,NA,NA,NA,NA,NA
MDA,Moldova,13163.535,-44,3,16,87.04
MDG,Madagascar,12074.415,-5,1,16,95.37
MDV,Maldives,NA,NA,NA,NA,NA
MEX,Mexico,12194.279999999999,0,25,31,82.41
MKD,North Macedonia,NA,NA,NA,NA,NA
MLI,Mali,9342.02,-7,0,0,72.22
MLT,Malta,NA,NA,NA,NA,NA
MMR,Myanmar,13205.84,-55,-1,21,86.11
MNE,Montenegro,NA,NA,NA,NA,NA
MNG,Mongolia,13720.869999999999,-69,-18,56,90.74
MOZ,Mozambique,10620.51,-40,10,87,80.56
MRT,Mauritania,10426.305,-38,5,15,77.78
MSR,Montserrat,7164.75,-54,8,24,72.22
MTQ,Martinique,NA,NA,NA,NA,NA
MUS,Mauritius,8291.83,0,5,8,82.41
MWI,Malawi,10096.835,-51,-10,128,64.81
MYS,Malaysia,11649.115,-9,53,119,75
MYT,Mayotte,NA,NA,NA,NA,NA
NAM,Namibia,10267.825,-13,10,34,73.15
NCL,New Caledonia,NA,NA,NA,NA,NA
NER,Niger,5851.175,-7,0,8,61.11
NGA,Nigeria,12704.91,-37,27,55,85.65
NIC,Nicaragua,2358.335,-27,NA,27,16.67
NLD,Netherlands,10370.58,8,17,33,79.63
NOR,Norway,9022.08,-26,18,27,79.63
NPL,Nepal,15953.255000000001,-9,55,59,96.3
NZL,New Zealand,9699.01,-37,22,27,96.3
OMN,Oman,15686.085,-35,22,152,100
PAK,Pakistan,13116.155,-25,17,30,96.3
PAN,Panama,14804.27,-49,7,39,93.52
PER,Peru,15216.385,-1,9,56,96.3
PHL,Philippines,15770.91,-6,45,52,100
PNG,Papua New Guinea,10029.06,-53,4,27,83.8
POL,Poland,10641.005,-41,11,36,83.33
PRT,Portugal,12926.824999999999,-36,17,38,87.96
PRY,Paraguay,14872.07,-45,5,32,94.44
PSE,West Bank and Gaza,15397.61,-12,0,17,96.3
PYF,French Polynesia,NA,NA,NA,NA,NA
QAT,Qatar,14375.15,-36,17,28,86.11
REU,Reunion,NA,NA,NA,NA,NA
ROU,Romania,11046.475,-30,15,34,87.04
RUS,Russian Federation,13111.295,-1,45,59,87.04
RWA,Rwanda,13218.525,-53,7,7,90.74
SAU,Saudi Arabia,13820.615,-32,13,55,94.44
SDN,Sudan,13701.1,-45,3,77,91.67
SEN,Senegal,9859.869999999999,12,21,23,77.78
SGP,Singapore,12263.795,-21,75,82,85.19
SLE,Sierra Leone,9288.585,-15,0,33,94.44
SLV,El Salvador,16415.77,-56,-3,49,100
SMR,San Marino,10388.685,-4,10,50,92.59
SOM,Somalia,7266.49,-2,5,26,60.19
SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA
SRB,Serbia,11199.615,-44,10,15,100
SSD,South Sudan,13367.11,-41,-12,13,86.11
STP,Sao Tome and Principe,NA,NA,NA,NA,NA
SUR,Suriname,13595.61,-1,2,167,96.3
SVK,Slovak Republic,9791.34,-39,7,33,87.04
SVN,Slovenia,9313.66,-1,11,25,89.81
SWE,Sweden,6961.53,37,NA,63,46.3
SWZ,Eswatini,13914.035,-45,3,20,89.81
SXM,Sint Maarten (Dutch part),NA,NA,NA,NA,NA
SYC,Seychelles,7678.1,-45,16,26,93.52
SYR,Syrian Arab Republic,11821.375,-50,-2,26,86.11
TCA,Turks and Caicos Islands,11046.3,-18,-2,-2,79.63
TCD,Chad,11356.165,-12,25,25,88.89
TGO,Togo,10193.045,10,14,27,73.15
THA,Thailand,NA,NA,NA,NA,NA
TJK,Tajikistan,8871.145,-100,9,51,73.15
TLS,Timor-Leste,7589.815,-52,6,22,77.78
TTO,Trinidad and Tobago,12976.81,-44,7,44,90.74
TUN,Tunisia,9629.885,0,16,18,90.74
TUR,Turkey,11627.995,-47,5,31,77.78
TWN,Taiwan,5374.66,-20,NA,12,30.56
TZA,Tanzania,6171.95,-46,NA,27,50
UGA,Uganda,14641.83,-61,4,9,93.52
UKR,Ukraine,11677.16,0,13,15,88.89
URY,Uruguay,8251.785,0,2,20,72.22
USA,United States,12029.115,11,54,75,93.52
UZB,Uzbekistan,13726.73,-54,1,44,96.3
VAT,Vatican,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",14435.905,-15,-1,100,87.04
VGB,British Virgin Islands,10760.845,-57,-3,151,79.63
VNM,Vietnam,13443.14,2,62,69,96.3
XKX,Kosovo,10585.03,-8,7,20,76.85
YEM,"Yemen, Rep.",7563.61,-26,20,21,58.33
ZAF,South Africa,13783.55,-42,13,21,87.96
ZMB,Zambia,8531.705,-26,22,45,70.83
ZWE,Zimbabwe,13535.449999999999,-53,4,10,87.96
