ISO_A3,Country,AUC,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max
VAT,Vatican,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",3745.84,2020-02-28,2020-03-13,2020-03-18,84.26
VGB,British Virgin Islands,NA,NA,NA,NA,NA
VNM,Vietnam,5025.925,2020-01-25,2020-03-26,2020-04-01,97.35
XKX,Kosovo,NA,NA,NA,NA,NA
YEM,"Yemen, Rep.",NA,NA,NA,NA,NA
ZAF,South Africa,3610.3700000000003,2020-01-23,2020-03-18,2020-03-26,91.4
ZMB,Zambia,2289.905,2020-02-21,2020-04-09,2020-04-15,62.45
ZWE,Zimbabwe,3535,2020-01-27,2020-03-23,2020-03-30,91.4
