ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max
REU,Reunion,NA,NA,NA,NA,NA
ROU,Romania,4674.87,-30,14,34,88.36
RUS,Russian Federation,4216.09,-1,48,59,92.86
RWA,Rwanda,5341.44,-53,2,7,100
SAU,Saudi Arabia,4766.785,-32,13,55,94.18
SDN,Sudan,4031.955,-45,3,31,84.26
SEN,Senegal,2967.185,12,18,21,66.67
SGP,Singapore,4532.685,-21,71,82,87.83
SLE,Sierra Leone,2876.23,-15,0,5,90.08
SLV,El Salvador,5193.585,-56,-3,33,96.03
SMR,San Marino,4940.08,-4,10,50,92.06
SOM,Somalia,2412.425,-2,5,26,59.39
SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA
SRB,Serbia,4863.57,-44,9,15,100
SSD,South Sudan,3653.745,-41,-16,7,90.74
STP,Sao Tome and Principe,NA,NA,NA,NA,NA
SUR,Suriname,3389.185,-1,2,23,83.07
SVK,Slovak Republic,4345.85,-39,6,33,90.74
SVN,Slovenia,4169.01,-1,11,25,91.93
SWE,Sweden,1929.375,38,NA,84,47.35
SWZ,Eswatini,3463.46,-14,13,13,81.48
SXM,Sint Maarten (Dutch part),NA,NA,NA,NA,NA
SYC,Seychelles,4198.845,-73,16,26,94.58
SYR,Syrian Arab Republic,3835.625,-50,-2,10,84.13
TCA,Turks and Caicos Islands,NA,NA,NA,NA,NA
TCD,Chad,2447.1150000000002,-12,25,25,88.23
TGO,Togo,NA,NA,NA,NA,NA
THA,Thailand,3491.04,52,67,85,83.21
TLS,Timor-Leste,NA,NA,NA,NA,NA
TTO,Trinidad and Tobago,4081.67,-44,3,45,93.38
TUN,Tunisia,4265.445,0,14,17,90.61
TUR,Turkey,4301.47,-47,5,17,80.42
TWN,Taiwan,2888.56,-19,NA,58,32.01
TZA,Tanzania,1983.96,-2,27,27,50.4
UGA,Uganda,4399.675,-61,4,9,92.59
UKR,Ukraine,4460.42,0,9,15,92.06
URY,Uruguay,3359.07,0,1,20,76.98
USA,United States,3581.9049999999997,11,54,77,71.58
UZB,Uzbekistan,4626.85,-54,1,44,94.58
VAT,Vatican,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",4167.14,-15,-1,4,84.26
VGB,British Virgin Islands,NA,NA,NA,NA,NA
VNM,Vietnam,5467.84,2,62,69,97.35
XKX,Kosovo,4571.755,-18,-13,-2,94.71
YEM,"Yemen, Rep.",NA,NA,NA,NA,NA
ZAF,South Africa,4067.3700000000003,-42,13,21,91.4
ZMB,Zambia,2602.155,-26,22,28,62.45
ZWE,Zimbabwe,3950.915,-53,3,10,91.4
