geounit,Province.State,Country.Region,Lat,Long,date,confirmed,deaths,recovered
Albania,NA,Albania,41.1533,20.1683,2020-02-16,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-17,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-18,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-19,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-20,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-21,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-22,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-23,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-24,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-25,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-26,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-27,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-28,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-02-29,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-01,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-02,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-03,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-04,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-05,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-06,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-07,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-08,0,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-09,2,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-10,10,0,0
Albania,NA,Albania,41.1533,20.1683,2020-03-11,12,1,0
Albania,NA,Albania,41.1533,20.1683,2020-03-12,23,1,0
Albania,NA,Albania,41.1533,20.1683,2020-03-13,33,1,0
Albania,NA,Albania,41.1533,20.1683,2020-03-14,38,1,0
Albania,NA,Albania,41.1533,20.1683,2020-03-15,42,1,0
Albania,NA,Albania,41.1533,20.1683,2020-03-16,51,1,0
Albania,NA,Albania,41.1533,20.1683,2020-03-17,55,1,0
Albania,NA,Albania,41.1533,20.1683,2020-03-18,59,2,0
Albania,NA,Albania,41.1533,20.1683,2020-03-19,64,2,0
Albania,NA,Albania,41.1533,20.1683,2020-03-20,70,2,0
Albania,NA,Albania,41.1533,20.1683,2020-03-21,76,2,2
Albania,NA,Albania,41.1533,20.1683,2020-03-22,89,2,2
Albania,NA,Albania,41.1533,20.1683,2020-03-23,104,4,2
Albania,NA,Albania,41.1533,20.1683,2020-03-24,123,5,10
Albania,NA,Albania,41.1533,20.1683,2020-03-25,146,5,17
Albania,NA,Albania,41.1533,20.1683,2020-03-26,174,6,17
Albania,NA,Albania,41.1533,20.1683,2020-03-27,186,8,31
Albania,NA,Albania,41.1533,20.1683,2020-03-28,197,10,31
Albania,NA,Albania,41.1533,20.1683,2020-03-29,212,10,33
Albania,NA,Albania,41.1533,20.1683,2020-03-30,223,11,44
Albania,NA,Albania,41.1533,20.1683,2020-03-31,243,15,52
Albania,NA,Albania,41.1533,20.1683,2020-04-01,259,15,67
Albania,NA,Albania,41.1533,20.1683,2020-04-02,277,16,76
Albania,NA,Albania,41.1533,20.1683,2020-04-03,304,17,89
Albania,NA,Albania,41.1533,20.1683,2020-04-04,333,20,99
Albania,NA,Albania,41.1533,20.1683,2020-04-05,361,20,104
Albania,NA,Albania,41.1533,20.1683,2020-04-06,377,21,116
Albania,NA,Albania,41.1533,20.1683,2020-04-07,383,22,131
Albania,NA,Albania,41.1533,20.1683,2020-04-08,400,22,154
Albania,NA,Albania,41.1533,20.1683,2020-04-09,409,23,165
Albania,NA,Albania,41.1533,20.1683,2020-04-10,416,23,182
Albania,NA,Albania,41.1533,20.1683,2020-04-11,433,23,197
Albania,NA,Albania,41.1533,20.1683,2020-04-12,446,23,217
Albania,NA,Albania,41.1533,20.1683,2020-04-13,467,23,232
Albania,NA,Albania,41.1533,20.1683,2020-04-14,475,24,248
Albania,NA,Albania,41.1533,20.1683,2020-04-15,494,25,251
Albania,NA,Albania,41.1533,20.1683,2020-04-16,518,26,277
Albania,NA,Albania,41.1533,20.1683,2020-04-17,539,26,283
Albania,NA,Albania,41.1533,20.1683,2020-04-18,548,26,302
Albania,NA,Albania,41.1533,20.1683,2020-04-19,562,26,314
Algeria,NA,Algeria,28.0339,1.6596,2020-01-22,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-23,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-24,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-25,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-26,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-27,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-28,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-29,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-30,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-01-31,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-01,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-02,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-03,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-04,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-05,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-06,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-07,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-08,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-09,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-10,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-11,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-12,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-13,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-14,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-15,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-16,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-17,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-18,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-19,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-20,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-21,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-22,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-23,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-24,0,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-25,1,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-26,1,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-27,1,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-28,1,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-02-29,1,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-01,1,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-02,3,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-03,5,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-04,12,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-05,12,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-06,17,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-07,17,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-08,19,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-09,20,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-10,20,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-11,20,0,0
Algeria,NA,Algeria,28.0339,1.6596,2020-03-12,24,1,8
Algeria,NA,Algeria,28.0339,1.6596,2020-03-13,26,2,8
Algeria,NA,Algeria,28.0339,1.6596,2020-03-14,37,3,12
Algeria,NA,Algeria,28.0339,1.6596,2020-03-15,48,4,12
Algeria,NA,Algeria,28.0339,1.6596,2020-03-16,54,4,12
Algeria,NA,Algeria,28.0339,1.6596,2020-03-17,60,4,12
Algeria,NA,Algeria,28.0339,1.6596,2020-03-18,74,7,12
Algeria,NA,Algeria,28.0339,1.6596,2020-03-19,87,9,32
Algeria,NA,Algeria,28.0339,1.6596,2020-03-20,90,11,32
Algeria,NA,Algeria,28.0339,1.6596,2020-03-21,139,15,32
Algeria,NA,Algeria,28.0339,1.6596,2020-03-22,201,17,65
Algeria,NA,Algeria,28.0339,1.6596,2020-03-23,230,17,65
Algeria,NA,Algeria,28.0339,1.6596,2020-03-24,264,19,24
Algeria,NA,Algeria,28.0339,1.6596,2020-03-25,302,21,65
Algeria,NA,Algeria,28.0339,1.6596,2020-03-26,367,25,29
Algeria,NA,Algeria,28.0339,1.6596,2020-03-27,409,26,29
Algeria,NA,Algeria,28.0339,1.6596,2020-03-28,454,29,31
Algeria,NA,Algeria,28.0339,1.6596,2020-03-29,511,31,31
Algeria,NA,Algeria,28.0339,1.6596,2020-03-30,584,35,37
Algeria,NA,Algeria,28.0339,1.6596,2020-03-31,716,44,46
Algeria,NA,Algeria,28.0339,1.6596,2020-04-01,847,58,61
Algeria,NA,Algeria,28.0339,1.6596,2020-04-02,986,86,61
Algeria,NA,Algeria,28.0339,1.6596,2020-04-03,1171,105,62
Algeria,NA,Algeria,28.0339,1.6596,2020-04-04,1251,130,90
Algeria,NA,Algeria,28.0339,1.6596,2020-04-05,1320,152,90
Algeria,NA,Algeria,28.0339,1.6596,2020-04-06,1423,173,90
Algeria,NA,Algeria,28.0339,1.6596,2020-04-07,1468,193,113
Algeria,NA,Algeria,28.0339,1.6596,2020-04-08,1572,205,237
Algeria,NA,Algeria,28.0339,1.6596,2020-04-09,1666,235,347
Algeria,NA,Algeria,28.0339,1.6596,2020-04-10,1761,256,405
Algeria,NA,Algeria,28.0339,1.6596,2020-04-11,1825,275,460
Algeria,NA,Algeria,28.0339,1.6596,2020-04-12,1914,293,591
Algeria,NA,Algeria,28.0339,1.6596,2020-04-13,1983,313,601
Algeria,NA,Algeria,28.0339,1.6596,2020-04-14,2070,326,691
Algeria,NA,Algeria,28.0339,1.6596,2020-04-15,2160,336,708
Algeria,NA,Algeria,28.0339,1.6596,2020-04-16,2268,348,783
Algeria,NA,Algeria,28.0339,1.6596,2020-04-17,2418,364,846
Algeria,NA,Algeria,28.0339,1.6596,2020-04-18,2534,367,894
Algeria,NA,Algeria,28.0339,1.6596,2020-04-19,2629,375,1047
Andorra,NA,Andorra,42.5063,1.5218,2020-01-22,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-23,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-24,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-25,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-26,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-27,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-28,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-29,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-30,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-01-31,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-01,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-02,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-03,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-04,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-05,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-06,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-07,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-08,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-09,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-10,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-11,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-12,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-13,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-14,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-15,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-16,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-17,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-18,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-19,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-20,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-21,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-22,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-23,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-24,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-25,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-26,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-27,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-28,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-02-29,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-01,0,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-02,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-03,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-04,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-05,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-06,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-07,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-08,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-09,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-10,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-11,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-12,1,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-13,1,0,0
Andorra,NA,Andorra,42.5063,1.5218,2020-03-14,1,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-15,1,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-16,2,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-17,39,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-18,39,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-19,53,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-20,75,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-21,88,0,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-22,113,1,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-23,133,1,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-24,164,1,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-25,188,1,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-26,224,3,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-27,267,3,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-28,308,3,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-29,334,6,1
Andorra,NA,Andorra,42.5063,1.5218,2020-03-30,370,8,10
Andorra,NA,Andorra,42.5063,1.5218,2020-03-31,376,12,10
Andorra,NA,Andorra,42.5063,1.5218,2020-04-01,390,14,10
Andorra,NA,Andorra,42.5063,1.5218,2020-04-02,428,15,10
Andorra,NA,Andorra,42.5063,1.5218,2020-04-03,439,16,16
Andorra,NA,Andorra,42.5063,1.5218,2020-04-04,466,17,21
Andorra,NA,Andorra,42.5063,1.5218,2020-04-05,501,18,26
Andorra,NA,Andorra,42.5063,1.5218,2020-04-06,525,21,31
Andorra,NA,Andorra,42.5063,1.5218,2020-04-07,545,22,39
Andorra,NA,Andorra,42.5063,1.5218,2020-04-08,564,23,52
Andorra,NA,Andorra,42.5063,1.5218,2020-04-09,583,25,58
Andorra,NA,Andorra,42.5063,1.5218,2020-04-10,601,26,71
Andorra,NA,Andorra,42.5063,1.5218,2020-04-11,601,26,71
Andorra,NA,Andorra,42.5063,1.5218,2020-04-12,638,29,128
Andorra,NA,Andorra,42.5063,1.5218,2020-04-13,646,29,128
Andorra,NA,Andorra,42.5063,1.5218,2020-04-14,659,31,128
Andorra,NA,Andorra,42.5063,1.5218,2020-04-15,673,33,169
Andorra,NA,Andorra,42.5063,1.5218,2020-04-16,673,33,169
Andorra,NA,Andorra,42.5063,1.5218,2020-04-17,696,35,191
Andorra,NA,Andorra,42.5063,1.5218,2020-04-18,704,35,205
Andorra,NA,Andorra,42.5063,1.5218,2020-04-19,713,36,235
Angola,NA,Angola,-11.2027,17.8739,2020-01-22,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-23,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-24,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-25,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-26,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-27,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-28,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-29,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-30,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-01-31,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-01,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-02,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-03,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-04,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-05,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-06,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-07,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-08,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-09,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-10,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-11,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-12,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-13,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-14,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-15,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-16,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-17,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-18,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-19,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-20,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-21,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-22,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-23,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-24,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-25,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-26,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-27,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-28,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-02-29,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-03-01,0,0,0
Angola,NA,Angola,-11.2027,17.8739,2020-03-02,0,0,0
