Id_data;Id_site;Etat;biotope;Id_method;Id_ecoute;Regne;Famille;Genre;Espece;Nom_sc;Nom_co;Taxonomic_order;Count;Index
INSULAAV47;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;4;AV_005
INSULAAV48;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;5;AV_006
INSULAAV49;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Icteridae;Quiscalus;lugubris;Quiscalus lugubris;Quiscale merle;32612;2;AV_006
INSULAAV50;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;1;AV_005
INSULAAV51;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;1;AV_006
INSULAAV52;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1;AV_004
INSULAAV53;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1;AV_005
INSULAAV54;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2;AV_004
INSULAAV55;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_005
INSULAAV56;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_006
INSULAAV57;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_004
INSULAAV58;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;3;AV_005
INSULAAV59;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_006
INSULAAV60;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;3;AV_004
INSULAAV61;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;2;AV_005
INSULAAV62;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;3;AV_006
INSULAAV63;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Columbidae;Patagioenas;leucocephala;Patagioenas leucocephala;Pigeon à  couronne blanche;1900;1;AV_007
INSULAAV64;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Columbidae;Patagioenas;leucocephala;Patagioenas leucocephala;Pigeon à  couronne blanche;1900;1;AV_008
INSULAAV65;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1;AV_007
INSULAAV66;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1;AV_008
INSULAAV67;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1;AV_009
INSULAAV68;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1;AV_007
INSULAAV69;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;2;AV_008
INSULAAV70;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1;AV_009
INSULAAV71;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1;AV_007
INSULAAV72;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1;AV_008
INSULAAV73;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;2;AV_009
INSULAAV74;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Trochilidae;Eulampis;jugularis;Eulampis jugularis;Colibri madère;4268;1;AV_008
INSULAAV75;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Trochilidae;Eulampis;jugularis;Eulampis jugularis;Colibri madère;4268;1;AV_009
INSULAAV76;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Rallidae;Gallinula;galeata;Gallinula galeata;Gallinule d'Amérique;5280;1;AV_009
INSULAAV77;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Scolopacidae;Tringa;solitaria;Tringa solitaria;Chevalier solitaire;5973;1;AV_007
INSULAAV78;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1;AV_007
INSULAAV79;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1;AV_009
INSULAAV80;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1;AV_007
INSULAAV81;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;3;AV_008
INSULAAV82;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1;AV_009
INSULAAV83;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;2;AV_007
INSULAAV84;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;3;AV_008
INSULAAV85;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;2;AV_009
INSULAAV86;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1;AV_007
INSULAAV87;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1;AV_008
INSULAAV88;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1;AV_009
INSULAAV89;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Tyrannidae;Tyrannus;dominicensis;Tyrannus dominicensis;Tyran gris;16693;2;AV_008
INSULAAV90;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Tyrannidae;Tyrannus;dominicensis;Tyrannus dominicensis;Tyran gris;16693;2;AV_009
INSULAAV91;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2;AV_007
INSULAAV92;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2;AV_008
INSULAAV93;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;3;AV_009
INSULAAV94;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Mimidae;Allenia;fusca;Allenia fusca;Moqueur grivotte;26916;1;AV_009
INSULAAV95;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1;AV_007
INSULAAV96;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1;AV_008
INSULAAV97;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Icteridae;Quiscalus;lugubris;Quiscalus lugubris;Quiscale merle;32612;3;AV_007
INSULAAV98;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Icteridae;Quiscalus;lugubris;Quiscalus lugubris;Quiscale merle;32612;2;AV_008
INSULAAV99;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Icteridae;Quiscalus;lugubris;Quiscalus lugubris;Quiscale merle;32612;3;AV_009
INSULAAV100;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;2;AV_007
INSULAAV101;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;2;AV_009
INSULAAV102;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;2;AV_007
INSULAAV103;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1;AV_008
INSULAAV104;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;2;AV_009
INSULAAV105;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2;AV_007
INSULAAV106;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2;AV_009
INSULAAV107;B0GO;nndegrade;FM;p1;B0GOp1;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_007
INSULAAV108;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;2;AV_008
INSULAAV109;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;2;AV_009
INSULAAV110;B0GO;nndegrade;FM;p2;B0GOp2;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;1;AV_008
INSULAAV111;B0GO;nndegrade;FM;p3;B0GOp3;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;1;AV_009
INSULAAV112;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1;AV_010
INSULAAV113;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1;AV_011
INSULAAV114;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;2;AV_012
INSULAAV115;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1;AV_010
INSULAAV116;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1;AV_010
INSULAAV117;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1;AV_012
INSULAAV118;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Trochilidae;Eulampis;holosericeus;Eulampis holosericeus;Colibri falle-vert;4269;1;AV_010
INSULAAV119;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Rallidae;Gallinula;galeata;Gallinula galeata;Gallinule d'Amérique;5280;1;AV_012
INSULAAV120;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1;AV_011
INSULAAV121;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1;AV_012
INSULAAV122;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;2;AV_011
INSULAAV123;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;2;AV_012
INSULAAV124;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2;AV_010
INSULAAV125;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2;AV_011
INSULAAV126;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;1;AV_012
INSULAAV127;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Mimidae;Allenia;fusca;Allenia fusca;Moqueur grivotte;26916;1;AV_010
INSULAAV128;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Mimidae;Allenia;fusca;Allenia fusca;Moqueur grivotte;26916;2;AV_011
INSULAAV129;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Mimidae;Allenia;fusca;Allenia fusca;Moqueur grivotte;26916;1;AV_012
INSULAAV130;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Mimidae;Cinclocerthia;ruficauda;Cinclocerthia ruficauda;Trembleur brun;26928;1;AV_010
INSULAAV131;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Mimidae;Cinclocerthia;ruficauda;Cinclocerthia ruficauda;Trembleur brun;26928;1;AV_011
INSULAAV132;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Mimidae;Cinclocerthia;ruficauda;Cinclocerthia ruficauda;Trembleur brun;26928;1;AV_012
INSULAAV133;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Turdidae;Turdus;nudigenis;Turdus nudigenis;Merle à  lunettes;27419;1;AV_011
INSULAAV134;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Turdidae;Turdus;nudigenis;Turdus nudigenis;Merle à  lunettes;27419;1;AV_012
INSULAAV135;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1;AV_010
INSULAAV136;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1;AV_011
INSULAAV137;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1;AV_012
INSULAAV138;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_010
INSULAAV139;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2;AV_011
INSULAAV140;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2;AV_012
INSULAAV141;B0TA;nndegrade;FM;p1;B0TAp1;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;3;AV_010
INSULAAV142;B0TA;nndegrade;FM;p2;B0TAp2;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_011
INSULAAV143;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_012
INSULAAV144;B0TA;nndegrade;FM;p3;B0TAp3;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;1;AV_012
INSULAAV145;B0LA;nndegrade;FM;p1;B0LAp1;Animalia;Columbidae;Columbina;passerina;Columbina passerina;Colombe à  queue noire;2176;1;AV_013
INSULAAV146;B0LA;nndegrade;FM;p2;B0LAp2;Animalia;Trochilidae;Eulampis;holosericeus;Eulampis holosericeus;Colibri falle-vert;4269;1;AV_014
INSULAAV147;B0LA;nndegrade;FM;p1;B0LAp1;Animalia;Trochilidae;Orthorhyncus;cristatus;Orthorhyncus cristatus;Colibri huppé;4755;1;AV_013
INSULAAV148;B0LA;nndegrade;FM;p3;B0LAp3;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1;AV_015
INSULAAV149;B0LA;nndegrade;FM;p1;B0LAp1;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1;AV_013
INSULAAV150;B0LA;nndegrade;FM;p2;B0LAp2;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1;AV_014
INSULAAV151;B0LA;nndegrade;FM;p3;B0LAp3;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;1;AV_015
INSULAAV152;B0LA;nndegrade;FM;p1;B0LAp1;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2;AV_013
INSULAAV153;B0LA;nndegrade;FM;p2;B0LAp2;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;4;AV_014
INSULAAV154;B0LA;nndegrade;FM;p2;B0LAp2;Animalia;Parulidae;Parkesia;noveboracensis;Parkesia noveboracensis;Paruline des ruisseaux;32673;1;AV_014
INSULAAV155;B0LA;nndegrade;FM;p3;B0LAp3;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;2;AV_015
INSULAAV156;B0LA;nndegrade;FM;p1;B0LAp1;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;1;AV_013
INSULAAV157;B0LA;nndegrade;FM;p2;B0LAp2;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;2;AV_014
INSULAAV158;B0LA;nndegrade;FM;p3;B0LAp3;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1;AV_015
INSULAAV159;B0LA;nndegrade;FM;p1;B0LAp1;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1;AV_013
INSULAAV160;B0LA;nndegrade;FM;p2;B0LAp2;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;1;AV_014
INSULAAV161;B0LA;nndegrade;FM;p3;B0LAp3;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_015
INSULAAV162;B0LA;nndegrade;FM;p1;B0LAp1;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_013
INSULAAV163;B0LA;nndegrade;FM;p2;B0LAp2;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_014
