ISO_A3,Country_Name,esperance_vie_hom,esperance_vie_fem,pop_0a14_p100,pop_15a64_p100,pop_65plus_p100,densite_pop,tx_mortalite_p1000,tx_fertilite,pop_rurale_p100,imports_p100GDP,exports_p100GDP,immigration,pop_refugies,transport_aerien,PIB_pcapita,PIB_pays,taux_emploi_p100,emploi_agric_p100,ratio_FH_emploi,articles_scientif,surface_agri_p100,surface_foret_p100,zones_terr_protegees_p100,pop_urbaine_p100,ressource_eau_pcapita,emissions_CO2,pop_expo_partic_fine_p100,pop_diabete_p100,mortalite_maladies_p100,mortalite_infant_0a5ans,pop_rurale_sanitaire_p100,acces_electricite_p100,tourisme_internat_p100export,apport_nrj_alim_p100besoin,preval_obesite_adult_p100,age_median,indice_dvpt_humain,political_regime,global_freedom_score_p100,groupe_economie_pays,groupe_PIB_pays,continent,region_ONU,sous_region,region_WB,Long,Lat,temp_dec19,temp_jan20,temp_fev20,temp_mar20,temp_mean,population,AUC_SI,AUC_confirmed,AUC_deaths,AUC_recovered,AUC_confirmed_pmillion,AUC_deaths_pmillion,AUC_recovered_pmillion,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,confirmed_30avr,deaths_30avr,recovered_30avr,confirmed_p_million,deaths_p_million,recovered_p_million,b_confirmed,Asym_confirmed,xmid_confirmed,b_deaths,Asym_deaths,xmid_deaths,b_recovered,Asym_recovered,xmid_recovered,date_first_cases,days_since_first_cases
BEN,Benin,59.9,63.0,42.4,54.3,3.3,101.9,8.9,4.8,52.7,40.3,27.3,-10000.0,665.0,NA,2410,10354274634.9108,70.9,38.6,94.3,227.7,33.3,37.8,29.6,47.3,1001,0.6,100,1,19.6,93,7.6,43.1,6.3,127,8.2,18.2,0.614,Presidential Republic,66,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,2.28102866845676,9.30679197700009,27.3900085449219,27.4999938964844,29.5500122070313,30.8699890136719,28.8275009155274,12123198,2751.97,1214,24.5,24.5,100.138593793486,2.02091890275157,2.02091890275157,-44,14,14,58.74,64,1,33,5.27913509290205,0.082486485826595,2.72205403227762,0.050413564131483,107.594560650135,18367.9007836664,-0.286542081560812,-8.93355001085894E-10,18300.0506372172,0.111167431863176,42.0582947329058,18367.4973627628,3/16/2020,45
BFA,Burkina Faso,60.4,61.9,44.9,52.6,2.5,72.2,8.1,5.2,70.6,36.2,30.3,-125000.0,11460.0,151531.0,1970,14124775068.569,66.4,25.2,77.9,252,44.2,19.3,14.9,29.4,711,0.2,100,7.3,21.7,76.4,11.3,25.5,4.6,124,4.5,17.3,0.813,Semi-Presidential Republic,56,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-1.21097629827732,12.2226142375001,26.839990234375,25.9800048828125,28.6400085449219,33.2799926757813,28.6849990844727,20903278,3783.245,16808.5,985.5,985.5,804.108331717159,47.1457156145558,47.1457156145558,2,11,13,88.75,645,43,506,30.8564044357062,2.05709362904708,24.2067296813447,0.083997845182476,709.833308469836,18352.3619975856,0.068362641717279,53.4548869094459,18357.6979486367,0.063855440959828,839.098310731789,18370.4460458866,3/10/2020,51
BGD,Bangladesh,70.6,74.3,27.7,67.1,5.2,1239.6,5.5,2.0,63.4,20.3,15.0,-1847503.0,21036.0,5984155.2,4570,274024958965.892,59,38.6,44.6,3135.1,70.6,11,4.6,36.6,680,0.5,100,9.2,21.6,30.2,46.9,88,0.8,110,3.4,26.7,0.817,Parliamentary republic,39,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia,89.8593376179825,23.6777160645001,20.4999938964844,19.5400024414063,22.2499938964844,27.5400024414063,22.4574981689453,164689383,4590.9,66995.5,2118,2118,406.799143816089,12.8605740176949,12.8605740176949,-46,11,34,94.58,7667,168,160,46.5543064181618,1.0201021883724,0.971525893687998,0.070959160131234,19206.3442105057,18381.0380277715,0.089204553960168,250.456784999613,18371.2380158536,0.008996593572943,282597.836648065,18605.5342693545,3/8/2020,53
BGR,Bulgaria,71.5,78.4,14.6,64.4,21.0,64.7,15.4,1.6,25.0,63.8,68.1,-24001.0,627.0,1022645.0,22300,65132951116.4756,55.4,6.4,79.4,3311.3,46.3,35.4,34.7,75,2907,5.9,100,6,23.6,7.1,83.7,100,11.7,115,27.4,42.7,0.919,Parliamentary republic,80,2. Developed region: nonG7,3. Upper middle income,Europe,Europe,Eastern Europe,Europe & Central Asia,25.1896826548285,42.7322248335,1.57000122070315,-0.590002441406227,1.35000000000002,2.61000976562502,1.23500213623049,6948445,4008.65,28613,1149,1149,4117.89976030608,165.360738985485,165.360738985485,-34,5,24,75.52,1506,66,266,216.739140915701,9.4985280879391,38.2819465362394,0.024429030541109,5551.43504219092,18393.8895634138,0.051091715671762,105.524592906049,18368.6238413595,0.059509277389911,456.391562041309,18373.3258630437,3/8/2020,53
BHR,Bahrain,76.3,78.3,19.3,78.3,2.4,2017.3,2.4,2.0,10.7,67.4,75.4,239000.0,543.0,5877003.0,44700,37746196808.5106,73.4,1,51.6,321.5,11.1,0.8,6.6,89.3,3,23.5,100,15.6,11.3,7.1,NA,100,12.7,NA,28.7,32.3,0.72,Constitutional monarchy,11,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa,50.5447870791991,26.0020816100001,19.85,17.0700012207031,19.35,22.8900085449219,19.7900024414063,1701583,4325.805,55088,227,227,32374.5594543434,133.405187992593,133.405187992593,-32,23,40,86.77,3040,8,1500,1786.57168060565,4.70150442264644,881.532079246208,0.013233165450767,101694.581727427,18476.2027483017,0.06736719778162,9.02137567876508,18349.6593749401,0.013397058528396,41594.6992629344,18472.5094054524,2/24/2020,66
BIH,Bosnia and Herzegovina,74.8,79.7,14.8,68.8,16.4,64.9,10.7,1.3,51.8,56.4,40.1,-107926.0,16964.0,NA,14580,20161865419.4327,46.4,15.4,61,703.8,43.1,42.7,1.4,48.2,10195,6.4,100,9,17.8,5.8,92.1,100,12.7,130,19.4,42.1,NA,Parliamentary republic,53,6. Developing region,3. Upper middle income,Europe,Europe,Southern Europe,Europe & Central Asia,17.9356816411729,43.918999939,2.7600036621094,0.839990234375023,2.9999938964844,4.0100036621094,2.65249786376955,3280815,4655.2,35355.5,1287.5,1287.5,10776.4381716128,392.432977781435,392.432977781435,-34,11,50,91.4,1757,69,727,535.537663659792,21.0313595859565,221.591281434644,0.063753912442217,2098.50949603858,18359.6025391477,0.084961106951313,71.6550111136497,18358.6459869354,0.066449004881223,1412.68640338733,18375.3909040772,3/5/2020,56
BLR,Belarus,69.2,79.4,16.9,68.3,14.8,46.7,12.7,1.4,21.4,66.6,66.8,43648.0,3539.0,2760168.0,19240,59662495092.2654,64.1,11,80.5,1179.8,42,42.6,9.4,78.6,3589,6.7,100,5,23.7,3.4,96.3,100,2.9,133,26.6,44.1,0.703,Presidential Republic,19,6. Developing region,3. Upper middle income,Europe,Europe,Eastern Europe,Europe & Central Asia,28.0187285010075,53.6994365440001,1.83999023437502,1.08999023437502,1.90999755859377,3.8699890136719,2.17749176025393,9449321,648.405,143461.5,1127.5,1127.5,15182.2019804386,119.320742728499,119.320742728499,15,NA,36,19.44,14027,89,2386,1484.44528448129,9.41866616659546,252.504915432548,0.041264376172159,70744.8230571771,18393.7049595251,0.068514842722829,141.60217809708,18372.1035987216,0.048732590356639,22236.9739325265,18398.2727426584,2/28/2020,62
BLZ,Belize,71.6,77.7,30.3,65.0,4.7,16.8,4.7,2.3,54.3,58.4,55.0,6000.0,69.0,1297533.2,7810,1871203164.08275,65.1,16.8,61.9,9.1,7,59.7,37.7,45.7,43185,1.4,100,17.1,22.1,13,83.5,98.3,45.2,120,22.4,22.7,0.769,Constitutional parliamentary monarchy,86,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean,-88.7244119753538,17.1975568705001,22.6799865722656,23.110009765625,23.9500061035156,25.1599975585938,23.725,397621,3057.29,420,45,45,1056.28223861416,113.173096994374,113.173096994374,-34,-3,35,73.42,18,2,9,45.2692387977496,5.02991542197218,22.6346193988748,0.189387911587166,19.0979474550154,18357.8605988104,0.48260660204623,2.02045190610789,18358.4918747657,0.14784054376086,15.6553796615969,18377.5603801524,3/23/2020,38
BOL,Bolivia,68.4,74.2,31.1,61.7,7.2,10.5,6.8,2.7,30.6,31.8,24.9,-47520.0,510.0,4122113.0,7670,40287647756.8741,71.8,30.7,78.5,102.8,34.8,50.3,30.9,69.4,28347,1.9,100,6.8,17.2,26.8,36.1,91.8,9.4,105,18.7,24.3,0.761,Presidential Republic,63,5. Emerging region: G20,4. Lower middle income,South America,Americas,South America,Latin America & Caribbean,-64.2857951496387,-16.2878418989999,31.5299926757813,32.4900146484375,31.1799865722656,30.9200073242188,31.5300003051758,11673029,4281.725,14899.5,867,867,1276.40392223818,74.2737810383235,74.2737810383235,1,5,34,97.35,1110,59,117,95.0909999452584,5.0543864835768,10.0231053996353,0.018589380160713,34258.465111576,18447.5437322634,0.049304682604909,115.928996029569,18374.8243475131,0.04972501143935,1053.46243392354,18397.3544631414,3/11/2020,50
BRA,Brazil,72.0,79.4,21.3,69.7,9.0,25.1,6.5,1.7,13.4,11.6,12.6,106000.0,1038.0,102109977.0,15850,1868626087908.48,63.9,9.2,73.2,60148,33.9,58.9,29.4,86.6,27919,2.6,68,10.4,16.6,14.4,60.1,100,2.3,131,22.3,32.6,NA,Presidential Republic,75,3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean,-49.7280113163568,-14.2388624029999,27.9999938964844,27.9999938964844,27.7400146484375,27.860009765625,27.9000030517578,212559409,3389.325,1042044.5,64544,64544,4902.36825978379,303.651578180668,303.651578180668,5,20,60,72.51,87187,6006,35935,410.177090772773,28.2556299354408,169.058618336674,0.017591709317645,3375517.21425914,18456.269529401,0.023914985673414,111900.412923413,18427.2198604046,0.221250211022344,35214.276213482,18368.6489091503,2/26/2020,64
BRN,Brunei Darussalam,74.6,77.0,23.0,72.1,4.9,81.4,4.4,1.8,22.4,35.6,49.6,0.0,3.0,1234455.0,82180,13567351175.0315,64.7,1.4,81.4,293.9,2.7,72.1,46.9,77.6,20743,22.2,0,13.3,16.6,11.6,NA,100,2.7,122,14.7,30.2,0.816,Absolute monarchy,28,6. Developing region,2. High income: nonOECD,Asia,Asia,South-Eastern Asia,East Asia & Pacific,114.46843639661,4.53794118250011,26.5400024414063,26.85,26.7199951171875,27.1799865722656,26.8224960327149,437483,3831.595,5708,33.5,33.5,13047.3641261489,76.5744040339853,76.5744040339853,-63,4,33,60.71,138,1,124,315.44082855791,2.2858031054921,283.43958508102,0.162100156242615,138.466536738819,18337.1322680032,-1.46969719669795,9.24103515931307E-10,18300.0688666187,0.156649495650498,122.780908024253,18352.4422720882,3/9/2020,52
BTN,Bhutan,71.1,71.8,25.8,68.2,6.0,19.8,6.2,2.0,59.1,52.7,30.1,1600.0,7104.0,275849.0,9250,2446674101.3737,66.7,55.3,80.1,52.6,13.6,72.5,48,40.9,108476,1.4,100,10.3,23.3,29.7,67,97.7,15.5,NA,5.8,27.6,0.434,Constitutional monarchy,59,7. Least developed region,4. Lower middle income,Asia,Asia,Southern Asia,South Asia,90.2957316366054,27.5239713942488,-5.47000732421873,-7.54001464843748,-6.22000732421873,-2.47000732421873,-5.42500915527342,771612,3414.07,209.5,0,0,271.509515144917,0,0,0,21,21,78.3,7,0,5,9.07191697381585,0,6.47994069558275,0.055697364683259,7.85219161608273,18347.4668345571,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.01968962593734,51.9744659801082,18426.917501071,3/6/2020,55
BWA,Botswana,66.2,72.0,34.1,61.7,4.2,4.0,5.7,2.9,30.6,33.9,40.0,14999.0,294.0,253417.0,18000,18616018903.4434,70.8,20.7,85,280.6,45.6,18.9,29.1,69.4,1149,3.4,100,5.8,20.3,36.5,50.6,62.8,7.8,99,16.1,24.5,0.423,Semi-Parliamentary Republic,72,6. Developing region,3. Upper middle income,Africa,Africa,Southern Africa,Sub-Saharan Africa,24.4714405778494,-22.3453016149999,28.5700012207031,28.6899963378906,28.5200134277344,26.7199951171875,28.1250015258789,2351625,4374.61,432.5,30.5,30.5,183.915377664381,12.9697549566789,12.9697549566789,-89,-11,3,87.04,23,1,5,9.78047095093818,0.425237867432095,2.12618933716047,0.095640999761378,27.3324702109442,18361.5274658848,36.4612419613185,1,18351.0970867891,36.4725034303133,5.00000000000001,18380.0983567561,3/30/2020,31
CAN,Canada,79.9,84.1,15.9,66.9,17.2,4.1,7.7,1.5,18.6,33.7,31.5,1210159.0,84.0,89380000.0,47590,1713341704877.01,65.1,1.5,87.6,59967.8,6.9,38.2,9.7,81.4,80423,15.2,0,7.6,9.8,5,98.7,100,4,141,31.3,42.2,0.581,Constitutional parliamentary monarchy,98,1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,North America,-110.430875577198,56.8369204775001,-13.15,-14.2500061035156,-10.9899963378906,-8.47000732421873,-11.7150024414062,37855702,3525.2,954920.5,39538,39538,25225.2751778319,1044.43975177108,1044.43975177108,-4,52,66,76.73,54457,3310,21424,1438.54154388684,87.4372901604097,565.938520965745,0.048694610601192,94692.5450457769,18370.1012478467,0.054263907937342,8246.39311165388,18380.1429967023,0.054078073424695,40675.5739518683,18374.8545739019,1/26/2020,95
CHE,Switzerland,81.6,85.6,14.9,66.5,18.6,215.5,7.8,1.5,26.2,54.5,65.0,259999.0,7.0,28857994.0,68820,705140354166.312,68.3,2.9,85.3,21378.6,38.4,31.8,9.7,73.8,4934,4.3,49,5.7,8.6,4.1,99.9,100,4.4,131,21.2,42.4,0.563,Semi-Parliamentary Republic,96,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,8.42700051304515,46.8119499715001,-1.82999267578123,-2.70999755859373,-0.209997558593727,-0.199987792968727,-1.23749389648435,8654618,4104.47,908202,37766.5,37766.5,104938.427091756,4363.73968209804,4363.73968209804,0,21,21,79.49,29586,1737,23400,3418.5217649121,200.702099156774,2703.7588487441,0.097968010605938,30332.6758428539,18346.5111236938,0.078990720996916,1990.32835420941,18357.4974952959,0.095107110831526,26227.3136000777,18360.4775704112,2/25/2020,65
CHL,Chile,77.6,82.4,19.8,68.7,11.5,25.2,6.2,1.6,12.4,27.1,28.5,558539.0,482.0,19517185.0,24190,298231133532.749,62.6,9,70,7121.7,21.2,24.3,18.5,87.6,49834,4.6,98,8.6,12.4,7.2,100,100,4.6,126,28.8,34.4,NA,Presidential Republic,90,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean,-71.496395606561,-35.7103410784999,16.6499877929688,18.6299987792969,17.1400085449219,16.9900146484375,17.3525024414063,19116209,3357.79,274165.5,3210.5,3210.5,14342.0434459573,167.946479346402,167.946479346402,11,15,22,83.6,16023,227,8580,838.18920372758,11.8747393900119,448.833761966089,0.044554454027645,28198.808858437,18371.2731946564,0.059971890300905,387.730558710584,18372.1841214733,0.063664294665021,16458.6035109074,18375.5266430244,3/3/2020,58
CHN,China,74.5,79.1,17.9,71.2,10.9,148.3,7.1,1.7,40.8,18.2,20.0,-1741996.0,212050.0,611439830.0,18170,13608151864637.9,68,25.4,80.3,528263.3,56.2,22.4,15.4,59.2,2062,7.5,100,9.2,17,8.6,76.4,100,1.5,132,6.6,37.4,0.381,One-party state,10,3. Emerging region: BRIC,3. Upper middle income,Asia,Asia,Eastern Asia,East Asia & Pacific,98.6039156750066,36.9036725935001,-14.1900085449219,-13.9599975585937,-11.5499938964844,-6.45999755859373,-11.5399993896484,1404676330,6707.875,6644686,261757,261757,4730.40362259112,186.346843332941,186.346843332941,26,47,77,75.42,83956,4637,78523,59.7689291169305,3.3011163504122,55.9011341780067,0.143614840486929,82749.9035187547,18297.8311678344,0.056387863728604,4017.60233946194,18306.3087600254,0.088477960414088,79164.7582723767,18316.5967857339,12/10/2019,142
CIV,Cote d'Ivoire,56.3,58.7,41.9,55.2,2.9,78.8,10.1,4.6,49.2,31.1,33.7,-40000.0,38323.0,779482.0,4020,43007047821.7541,57,40,73.5,248.1,64.8,32.7,22.9,50.8,3393,0.5,100,2.4,29.1,80.9,18,65.6,4,123,9,20.9,0.401,Presidential Republic,51,6. Developing region,4. Lower middle income,Africa,Africa,Western Africa,Sub-Saharan Africa,-5.69267393890679,7.51951629650009,27.2900024414063,27.6499877929688,29.8000122070313,29.6299987792969,28.5925003051758,26378275,3672.915,21347.5,222,222,809.283397037903,8.41601658940928,8.41601658940928,1,8,13,86.11,1275,14,574,48.3352304121479,0.530739784917702,21.7603311816258,0.049608768734712,2330.17637459499,18371.663552134,0.08073487287637,22.010888648329,18368.8477777776,0.066361976941676,1357.09783536982,18379.2424342092,3/11/2020,50
CMR,Cameroon,57.7,60.2,42.6,54.6,2.8,53.3,9.3,4.6,43.6,22.6,18.6,-24000.0,45139.0,265136.0,3700,38675205293.0462,76.1,43.4,87.7,875.6,20.6,39.3,10.6,56.4,12036,0.3,100,6,21.6,76.1,17.8,61.4,8.7,123,9.5,18.5,NA,Presidential Republic,18,6. Developing region,4. Lower middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa,13.6109355928691,7.37244517000007,21.0599914550781,21.1799865722656,22.5100036621094,24.0299926757813,22.1949935913086,26545864,3058.77,30648,818.5,818.5,1154.5301369735,30.8334285145136,30.8334285145136,7,12,43,76.32,1832,61,934,69.0126341338899,2.29790976100834,35.1843887997015,0.044428096762881,3463.45641280946,18372.871286454,0.04027049719714,248.729304660271,18388.9645144666,0.07887339884333,2402.38339628118,18380.1352626577,3/6/2020,55
