"ISO_A3","Country_Name","population_WDI","esperance_vie_hom","esperance_vie_fem","pop_0a14_pcent","pop_15a64_pcent","densite_pop","tx_mortalite_p1000","tx_fertilite","pop_rurale_pcent","imports_pcentGDP","exports_pcentGDP","dette_totale","aide_dvpt_pcentGDI","immigration","pop_refugies","transport_aerien","traffic_containers","PIB_par_habitant","PIB_pays","pauvrete_seuil_nat_pcentpop","pauvrete_5.50usd_pcentpop","GINI_index","taux_emploi_pcent","emploi_agric_pcentemploi","ratio_F_H_emploi","depense_recherche_pcentPIB","articles_scient","depense_milit_pcentPIB","surface_agri_pcent","surface_foret_pcent","zones_terr_protegees_pcent","pop_urbaine_pcent","pop_urb_1M_pcent","ressource_eau_pcapita","emissions_CO2","pop_expo_partic_fine_pcent","pop_diabete_pcent","mortalite_maladies_pcent","mortalite_infant_0a5","medecins_p1000","lits_hopital_p1000","depense_educ_pcentPIB","taux_scolarisation_pcent","taux_reussite_primaire_pcent","indice_parite_ecole","pop_rurale_sanitaire_pcent","acces_electricite_pcent","tourisme_internat_pcentexport","apport_nrj_alim_pcentbesoin","preval_obesite_adult_pcent","age_median","indice_dvpt_humain","ventes_PUT_kg_percapita","groupe_economie_pays","groupe_PIB_pays","continent","region_ONU","sous_region","region_WB","Long","Lat","temp_dec19","temp_jan20","temp_fev20","temp_mar20","temp_mean","population","cumul_tests","cumul_tests_p_million","type_test","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split","confirmed_30avr","deaths_30avr","recovered_30avr","confirmed_p_million","deaths_p_million","recovered_p_million","b_confirmed","Asym_confirmed","xmid_confirmed","b_deaths","Asym_deaths","xmid_deaths","b_recovered","Asym_recovered","xmid_recovered","date_first_cases","days_since_first_cases"
"AUS","Australia",24982688,80.7,84.9,19.2,65.2,3.2,6.3,1.7,14,20.6,21.2,"NA","NA",791229,13,75667645,8747113,50050,1433904348500.12,"NA","NA","NA",65.5,2.6,85.1,"NA",53610.2,1.9,48.2,16.3,19.3,86,21.5,20958,15.4,25,5.6,9.1,3.7,3.59,"NA",5.3,100.3,"NA",0.9,"NA",100,14.5,132,30.4,38.7,0.938,208.3,"2. Developed region: nonG7","1. High income: OECD","Oceania","Oceania","Australia and New Zealand","East Asia & Pacific",133.0811263355,-24.9229061829999,31.2900024414063,30.6799865722656,29.360009765625,25.6400085449219,29.2425018310547,25459700,633107,24867.0251416945,"tests performed",3473.01,-1,56,63,71.3,16.9736842105263,57,42.3890100648705,57,6766,93,5742,265.753327808262,3.65283173014607,225.532901016116,0.150034812711075,6769.24084471055,18345.8699877105,0.069388600282741,106.443882169221,18358.2469550985,0.082920057388292,8374.03028280743,18367.9137743129,"2020-01-26",95
"AUT","Austria",8840521,79.4,84,14.3,66.7,107.2,9.5,1.5,41.7,50.7,54,"NA","NA",324998,23,12935505,"NA",55300,455285818035.125,"NA",0.7,29.7,60.7,3.6,82.7,3.2,12362.3,0.7,32.4,46.9,28.4,58.3,23,6435,6.9,85,6.6,11.4,3.5,5.14,7.6,5.5,103.1,99.5,1,100,100,10,148,21.9,44,0.914,171.6,"2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Western Europe","Europe & Central Asia",14.7636002258642,47.6945834350001,-0.389990234374977,-1.42999877929685,1.55999145507815,2.73000488281252,0.61750183105471,9006400,274355,30462.2268608989,"tests performed",3775.91,-1,17,20,84.79,19.3115942028986,19,57.5416550190915,18,15452,584,12907,1715.66885770119,64.8427784686445,1433.09202344999,0.126207120250827,15404.586427739,18345.5149491482,0.079705993080931,682.408547054524,18359.0940139024,0.110381537705842,14327.2701250741,18361.0347044558,"2020-02-25",65
"AZE","Azerbaijan",9939800,70.3,75.3,23.4,70.4,120.3,5.8,1.8,44.3,41.9,48.5,10.8,0.2,6002,11246,2279546,"NA",17100,46939529411.7647,"NA","NA","NA",66.5,35.9,90.9,0.2,761.4,3.8,57.7,14.1,10.2,55.7,"NA",851,3.9,100,6.1,22.2,21.5,"NA",4.7,2.9,103.3,107.2,"NA",87.6,100,11.1,131,19.9,21.4,0.754,48.8,"6. Developing region","3. Upper middle income","Asia","Asia","Western Asia","Europe & Central Asia",47.7257553342907,40.1370384760001,11.1700073242188,7.29000244140627,9.68999633789065,14.3200012207031,10.6175018310547,10139175,"NA","NA","NA",3894.465,-31,13,46,92.86,"NA","NA","NA","NA",1804,24,1325,177.923746261407,2.36705649128257,130.681243789559,0.089852432160721,1986.86873162966,18358.7705635714,0.051908751330471,38.7366999408443,18367.3138909284,0.11114420179804,1717.62959254191,18370.1451555539,"2020-03-01",60
"BDI","Burundi",11175378,59.4,63,45.5,52.3,435.2,7.9,5.4,87,27,7.4,14,14.8,10003,387862,"NA","NA",750,3036931818.18182,"NA","NA","NA",79.2,92,103.4,"NA",21.1,1.9,79.2,10.9,7.6,13,27,1022,0,100,5.1,22.9,58.5,0.05,"NA",4.7,123.9,68.4,1,46.4,9.3,1.4,"NA",4.4,17,0.805,"NA","7. Least developed region","5. Low income","Africa","Africa","Eastern Africa","Sub-Saharan Africa",29.9178297576671,-3.3845868454999,18.860009765625,18.7000061035156,19.0100036621094,18.7799926757813,18.8375030517578,11890781,"NA","NA","NA",1030.89,-59,"NA",14,19.44,"NA","NA","NA","NA",11,1,4,0.925086417788705,0.084098765253519,0.336395061014075,0.037725911871984,35.9967071618871,18384.2105835419,37.0422052911797,1,18364.0966781722,36.4238777910902,4,18371.0972724039,"2020-03-31",30
"BEL","Belgium",11433256,79.4,83.9,17.1,64.2,377.2,10.7,1.7,2,80.9,82.3,"NA","NA",240000,54,13639487,12682100,51740,542761092103.469,"NA",0.3,27.4,53.6,1,82.8,2.6,15688.1,0.9,44.6,22.6,23.3,98,"NA",1071,8.3,92,4.6,11.4,3.7,3.32,6.3,6.5,103.9,"NA",1.1,99.5,100,2.3,147,24.5,41.4,0.838,"NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Western Europe","Europe & Central Asia",4.84247766735196,50.4982107545001,4.30999145507815,3.98000488281252,5.55001220703127,6.04000244140627,4.97000274658205,11589616,366018,31581.5467915417,"units unclear",3975.41,-7,39,45,83.6,22.0666666666667,40,52.852191563913,40,48519,7594,11576,4186.41998147307,655.24172673193,998.825155207904,0.06493495234973,61394.4439844761,18359.2041470573,0.088736782376012,9295.16528207791,18363.452348459,0.075344212272656,14081.7683137065,18361.315889269,"2020-02-04",86
"BEN","Benin",11485048,59.9,63,42.4,54.3,101.9,8.9,4.8,52.7,40.3,27.3,4,5.6,-10000,665,"NA",333000,2410,10354274634.9108,"NA","NA","NA",70.9,38.6,94.3,"NA",227.7,0.9,33.3,37.8,29.6,47.3,12.8,1001,0.6,100,1,19.6,93,0.16,"NA",4,126.6,"NA","NA",7.6,43.1,6.3,127,8.2,18.2,0.614,"NA","7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",2.28102866845676,9.30679197700009,27.3900085449219,27.4999938964844,29.5500122070313,30.8699890136719,28.8275009155274,12123198,"NA","NA","NA","NA","NA","NA","NA","NA",9.94886363636364,13,16.9079475434127,13,64,1,33,5.27913509290205,0.082486485826595,2.72205403227762,0.050413564131483,107.594560650135,18367.9007836664,-0.286542081560812,-8.93355001085894E-10,18300.0506372172,0.111167431863176,42.0582947329058,18367.4973627628,"2020-03-16",45
"BFA","Burkina Faso",19751535,60.4,61.9,44.9,52.6,72.2,8.1,5.2,70.6,36.2,30.3,3.5,7.9,-125000,11460,151531,"NA",1970,14124775068.569,"NA","NA","NA",66.4,25.2,77.9,0.7,252,2.1,44.2,19.3,14.9,29.4,15.1,711,0.2,100,7.3,21.7,76.4,0.06,"NA","NA",93.7,63.5,1,11.3,25.5,4.6,124,4.5,17.3,0.813,"NA","7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",-1.21097629827732,12.2226142375001,26.839990234375,25.9800048828125,28.6400085449219,33.2799926757813,28.6849990844727,20903278,"NA","NA","NA","NA",10,11,13,88.23,16.8655462184874,9,26.6630037276199,9.5,645,43,506,30.8564044357062,2.05709362904708,24.2067296813447,0.083997845182476,709.833308469836,18352.3619975856,0.068362641717279,53.4548869094459,18357.6979486367,0.063855440959828,839.098310731789,18370.4460458866,"2020-03-10",51
"BGD","Bangladesh",161356039,70.6,74.3,27.7,67.1,1239.6,5.5,2,63.4,20.3,15,5.5,1.1,-1847503,21036,5984155.2,2827000,4570,274024958965.892,"NA","NA","NA",59,38.6,44.6,"NA",3135.1,1.4,70.6,11,4.6,36.6,18.1,680,0.5,100,9.2,21.6,30.2,0.48,"NA",1.5,115,"NA",1.1,46.9,88,0.8,110,3.4,26.7,0.817,83.7,"7. Least developed region","5. Low income","Asia","Asia","Southern Asia","South Asia",89.8593376179825,23.6777160645001,20.4999938964844,19.5400024414063,22.2499938964844,27.5400024414063,22.4574981689453,164689383,81454,494.591688402889,"samples tested",4240.32,-46,11,34,94.58,21.6833333333333,17,61.890132543662,16,7667,168,160,46.5543064181618,1.0201021883724,0.971525893687998,0.070959160131234,19206.3442105057,18381.0380277715,0.089204553960168,250.456784999613,18371.2380158536,0.008996593572943,282597.836648065,18605.5342693545,"2020-03-08",53
"BGR","Bulgaria",7025037,71.5,78.4,14.6,64.4,64.7,15.4,1.6,25,63.8,68.1,21.3,"NA",-24001,627,1022645,217200,22300,65132951116.4756,"NA",7.5,40.4,55.4,6.4,79.4,0.8,3311.3,1.7,46.3,35.4,34.7,75,"NA",2907,5.9,100,6,23.6,7.1,"NA",6.8,"NA",89.3,89.8,1,83.7,100,11.7,115,27.4,42.7,0.919,210,"2. Developed region: nonG7","3. Upper middle income","Europe","Europe","Eastern Europe","Europe & Central Asia",25.1896826548285,42.7322248335,1.57000122070315,-0.590002441406227,1.35000000000002,2.61000976562502,1.23500213623049,6948445,48618,6996.96119059732,"tests performed",3633.65,-34,5,24,75.52,15.5994130594277,6,50.4189323271495,5.5,1506,66,266,216.739140915701,9.4985280879391,38.2819465362394,0.024429030541109,5551.43504219092,18393.8895634138,0.051091715671762,105.524592906049,18368.6238413595,0.059509277389911,456.391562041309,18373.3258630437,"2020-03-08",53
"BHR","Bahrain",1569439,76.3,78.3,19.3,78.3,2017.3,2.4,2,10.7,67.4,75.4,"NA","NA",239000,543,5877003,432200,44700,37746196808.5106,"NA","NA","NA",73.4,1,51.6,"NA",321.5,3.6,11.1,0.8,6.6,89.3,"NA",3,23.5,100,15.6,11.3,7.1,"NA",2.1,"NA",101.2,99.5,1,"NA",100,12.7,"NA",28.7,32.3,0.72,"NA","6. Developing region","2. High income: nonOECD","Asia","Asia","Western Asia","Middle East & North Africa",50.5447870791991,26.0020816100001,19.85,17.0700012207031,19.35,22.8900085449219,19.7900024414063,1701583,144155,84718.1712558247,"units unclear",3891.955,-32,23,40,86.77,12.4362226920366,23,26.6632774515726,22,3040,8,1500,1786.57168060565,4.70150442264644,881.532079246208,0.013233165450767,101694.581727427,18476.2027483017,0.06736719778162,9.02137567876508,18349.6593749401,0.013397058528396,41594.6992629344,18472.5094054524,"2020-02-24",66
"BHS","Bahamas, The",385640,71.5,75.9,22.5,70.3,38.5,6.8,1.8,17,41.2,34.5,"NA","NA",4999,418,1197116.2,939065,30330,12424500000,"NA","NA","NA",74.6,2.1,83.5,"NA",19.8,"NA",1.4,51.4,36.6,83,"NA",1889,6.5,100,8.8,15.5,10.2,1.94,2.9,"NA","NA",76.5,"NA","NA",100,77.2,114,32.1,32,0.52,"NA","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-78.3354922309991,26.6528201965001,23.2099853515625,22.2400146484375,22.9599853515625,24.2700134277344,23.1699996948242,393248,"NA","NA","NA","NA","NA","NA","NA","NA",28.327731092437,3,67.1100536791525,4,81,11,25,205.976889901538,27.9721702335422,63.5731141671413,0.059701156347212,112.993487326426,18362.7001967438,0.203934934886519,10.3730759103074,18356.895887498,0.014874629259002,5887.47830582937,18495.6559304236,"2020-03-16",45
"BIH","Bosnia and Herzegovina",3323929,74.8,79.7,14.8,68.8,64.9,10.7,1.3,51.8,56.4,40.1,11.6,1.7,-107926,16964,"NA","NA",14580,20161865419.4327,"NA","NA","NA",46.4,15.4,61,0.2,703.8,1.1,43.1,42.7,1.4,48.2,21.1,10195,6.4,100,9,17.8,5.8,"NA",3.5,"NA","NA","NA","NA",92.1,100,12.7,130,19.4,42.1,"NA","NA","6. Developing region","3. Upper middle income","Europe","Europe","Southern Europe","Europe & Central Asia",17.9356816411729,43.918999939,2.7600036621094,0.839990234375023,2.9999938964844,4.0100036621094,2.65249786376955,3280815,"NA","NA","NA",4198.2,-34,11,50,91.4,15.1455197132616,11,47.5577573360714,11,1757,69,727,535.537663659792,21.0313595859565,221.591281434644,0.063753912442217,2098.50949603858,18359.6025391477,0.084961106951313,71.6550111136497,18358.6459869354,0.066449004881223,1412.68640338733,18375.3909040772,"2020-03-05",56
"BLR","Saint Barthelemy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",40,0.617,"NA","2. Developed region: nonG7","1. High income: OECD","North America","Americas","Caribbean","Latin America & Caribbean",-62.8291630605518,17.9104474955001,27.5200134277344,26.7900024414063,26.7000061035156,26.4399963378906,26.8625045776367,9885,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6,0,6,606.980273141123,0,606.980273141123,0.072996902265429,6.64040245742376,18335.7079089345,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.139072146651282,6.88016050767123,18363.0640987652,"2020-03-04",57
"BLR","Belarus",9483499,69.2,79.4,16.9,68.3,46.7,12.7,1.4,21.4,66.6,66.8,11.8,0.2,43648,3539,2760168,"NA",19240,59662495092.2654,5.6,0.8,25.4,64.1,11,80.5,0.6,1179.8,1.3,42,42.6,9.4,78.6,"NA",3589,6.7,100,5,23.7,3.4,"NA",11,4.9,102,101.7,1,96.3,100,2.9,133,26.6,44.1,0.703,102.5,"6. Developing region","3. Upper middle income","Europe","Europe","Eastern Europe","Europe & Central Asia",28.0187285010075,53.6994365440001,1.83999023437502,1.08999023437502,1.90999755859377,3.8699890136719,2.17749176025393,9449321,186262,19711.6808710382,"tests performed","NA","NA","NA","NA","NA",6.91761363636364,30,19.2200455818691,30,14027,89,2386,1484.44528448129,9.41866616659546,252.504915432548,0.041264376172159,70744.8230571771,18393.7049595251,0.068514842722829,141.60217809708,18372.1035987216,0.048732590356639,22236.9739325265,18398.2727426584,"2020-02-28",62
"BLZ","Belize",383071,71.6,77.7,30.3,65,16.8,4.7,2.3,54.3,58.4,55,9.7,2,6000,69,1297533.2,45268,7810,1871203164.08275,"NA","NA","NA",65.1,16.8,61.9,"NA",9.1,1.3,7,59.7,37.7,45.7,"NA",43185,1.4,100,17.1,22.1,13,1.13,0.9,7.1,113.2,102.6,1,83.5,98.3,45.2,120,22.4,22.7,0.769,68,"6. Developing region","4. Lower middle income","North America","Americas","Central America","Latin America & Caribbean",-88.7244119753538,17.1975568705001,22.6799865722656,23.110009765625,23.9500061035156,25.1599975585938,23.725,397621,"NA","NA","NA",2703.3,-34,-3,9,64.68,22.1205432937182,0,65.7467694774571,0,18,2,9,45.2692387977496,5.02991542197218,22.6346193988748,0.189387911587166,19.0979474550154,18357.8605988104,0.48260660204623,2.02045190610789,18358.4918747657,0.14784054376086,15.6553796615969,18377.5603801524,"2020-03-23",38
"BMU","Bermuda",63973,77.9,85.6,"NA","NA",1184.6,7.5,1.6,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.6,18.5,2.1,100,41.3,"NA",8.8,100,6.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA",100,36.9,108,"NA",43.4,0.728,"NA","2. Developed region: nonG7","2. High income: nonOECD","North America","Americas","Northern America","North America",-64.7280248205746,32.3191987840202,19.5756097560976,18.4713958810069,19.0596833130329,18.6733727810651,19.5756097560976,62273,"NA","NA","NA",5159.875,-57,-17,16,94.71,"NA","NA","NA","NA",114,6,48,1830.64891686606,96.3499429929504,770.799543943603,0.052019396132564,180.388237572204,18365.7907515261,0.389017032757896,5.27840160050387,18358.7627801586,0.103667979674433,48.0337384704746,18358.2708350627,"2020-03-19",42
