ISO_A3,Country_Name,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,X106,X107,X108,X109,X110
AUS,Australia,24982688,80.7,84.9,19.2,65.2,3.2,6.3,1.7,14,20.6,21.2,NA,NA,791229,13,75667645,8747113,50050,1433904348500.12,NA,NA,NA,65.5,2.6,85.1,NA,53610.2,1.9,48.2,16.3,19.3,86,21.5,20958,15.4,25,5.6,9.1,3.7,3.59,NA,5.3,100.3,NA,0.9,NA,100,14.5,132,30.4,38.7,0.938,208.3,2. Developed region: nonG7,1. High income: OECD,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,133.0811263355,-24.9229061829999,31.2900024414063,30.6799865722656,29.360009765625,25.6400085449219,29.2425018310547,25459700,6766,93,5742,265.753327808262,3.65283173014607,225.532901016116,0.150034812711075,6769.24084471055,18345.8699877105,1.60034774058008e-87,1.76175787392489e-150,0,1,22,0.069388600282741,106.443882169221,18358.2469550985,2.22176854967178e-32,5.59229473727999e-48,0,1,11,0.082920057388292,8374.03028280743,18367.9137743129,6.63845173802828e-24,4.56285470948395e-30,0,1,27,2020-01-26,95,588868,23129.4162932006,tests performed,2020-05-01,NA,NA,NA,NA,NA
AUT,Austria,8840521,79.4,84,14.3,66.7,107.2,9.5,1.5,41.7,50.7,54,NA,NA,324998,23,12935505,NA,55300,455285818035.125,NA,0.7,29.7,60.7,3.6,82.7,3.2,12362.3,0.7,32.4,46.9,28.4,58.3,23,6435,6.9,85,6.6,11.4,3.5,5.14,7.6,5.5,103.1,99.5,1,100,100,10,148,21.9,44,0.914,171.6,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,14.7636002258642,47.6945834350001,-0.389990234374977,-1.42999877929685,1.55999145507815,2.73000488281252,0.61750183105471,9006400,15452,584,12907,1715.66885770119,64.8427784686445,1433.09202344999,0.126207120250827,15404.586427739,18345.5149491482,1.4012565119024e-95,7.93967824217334e-153,0,1,18,0.079705993080931,682.408547054524,18359.0940139024,5.79633433544106e-89,6.40183834568113e-111,0,1,8,0.110381537705842,14327.2701250741,18361.0347044558,4.99886750796035e-87,1.11465608136924e-117,0,1,13,2020-02-25,65,274355,30462.2268608989,tests performed,2020-05-03,NA,NA,NA,NA,NA
AZE,Azerbaijan,9939800,70.3,75.3,23.4,70.4,120.3,5.8,1.8,44.3,41.9,48.5,10.8,0.2,6002,11246,2279546,NA,17100,46939529411.7647,NA,NA,NA,66.5,35.9,90.9,0.2,761.4,3.8,57.7,14.1,10.2,55.7,NA,851,3.9,100,6.1,22.2,21.5,NA,4.7,2.9,103.3,107.2,NA,87.6,100,11.1,131,19.9,21.4,0.754,48.8,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Europe & Central Asia,47.7257553342907,40.1370384760001,11.1700073242188,7.29000244140627,9.68999633789065,14.3200012207031,10.6175018310547,10139175,1804,24,1325,177.923746261407,2.36705649128257,130.681243789559,0.089852432160721,1986.86873162966,18358.7705635714,1.80464510695347e-71,7.05376892922866e-98,0,1,29,0.051908751330471,38.7366999408443,18367.3138909284,2.84641304324786e-31,1.49394730687621e-30,1.151145689982555e-308,1,12,0.11114420179804,1717.62959254191,18370.1451555539,9.70849724651656e-66,1.23451624890971e-77,0,1,32,2020-03-01,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDI,Burundi,11175378,59.4,63,45.5,52.3,435.2,7.9,5.4,87,27,7.4,14,14.8,10003,387862,NA,NA,750,3036931818.18182,NA,NA,NA,79.2,92,103.4,NA,21.1,1.9,79.2,10.9,7.6,13,27,1022,0,100,5.1,22.9,58.5,0.05,NA,4.7,123.9,68.4,1,46.4,9.3,1.4,NA,4.4,17,0.805,NA,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,29.9178297576671,-3.3845868454999,18.860009765625,18.7000061035156,19.0100036621094,18.7799926757813,18.8375030517578,11890781,11,1,4,0.925086417788705,0.084098765253519,0.336395061014075,0.037725911871984,35.9967071618871,18384.2105835419,8.42142443404329e-5,0.021420500485558,1.71856383724817e-220,1,29,37.0422052911797,1,18364.0966781722,4.02933295410482e-96,0,0,1,53,36.4238777910902,4,18371.0972724039,1.11402035699897e-90,0,0,1,49,2020-03-31,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,Belgium,11433256,79.4,83.9,17.1,64.2,377.2,10.7,1.7,2,80.9,82.3,NA,NA,240000,54,13639487,12682100,51740,542761092103.469,NA,0.3,27.4,53.6,1,82.8,2.6,15688.1,0.9,44.6,22.6,23.3,98,NA,1071,8.3,92,4.6,11.4,3.7,3.32,6.3,6.5,103.9,NA,1.1,99.5,100,2.3,147,24.5,41.4,0.838,NA,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,4.84247766735196,50.4982107545001,4.30999145507815,3.98000488281252,5.55001220703127,6.04000244140627,4.97000274658205,11589616,48519,7594,11576,4186.41998147307,655.24172673193,998.825155207904,0.06493495234973,61394.4439844761,18359.2041470573,9.74058410060335e-97,6.82573136142842e-112,0,1,10,0.088736782376012,9295.16528207791,18363.452348459,1.53294686083851e-82,4.29269240230483e-101,0,1,12,0.075344212272656,14081.7683137065,18361.315889269,1.12310309842425e-85,2.02325551919311e-102,0,1,28,2020-02-04,86,347936,30021.3570492758,units unclear,2020-05-01,NA,NA,NA,NA,NA
BEN,Benin,11485048,59.9,63,42.4,54.3,101.9,8.9,4.8,52.7,40.3,27.3,4,5.6,-10000,665,NA,333000,2410,10354274634.9108,NA,NA,NA,70.9,38.6,94.3,NA,227.7,0.9,33.3,37.8,29.6,47.3,12.8,1001,0.6,100,1,19.6,93,0.16,NA,4,126.6,NA,NA,7.6,43.1,6.3,127,8.2,18.2,0.614,NA,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,2.2810286684567598,9.30679197700009,27.3900085449219,27.4999938964844,29.5500122070313,30.8699890136719,28.8275009155274,12123198,64,1,33,5.27913509290205,0.082486485826595,2.72205403227762,0.050413564131483,107.594560650135,18367.9007836664,2.03796028740486e-17,2.93827450658826e-16,3.28800145322568e-285,1,22,-0.286542081560812,-8.93355001085894e-10,18300.0506372172,0.999999999241458,0.999999996834701,0.999994113858849,1,3,0.111167431863176,42.0582947329058,18367.4973627628,6.28687797344994e-17,2.17795670226549e-28,0,1,22,2020-03-16,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA,Burkina Faso,19751535,60.4,61.9,44.9,52.6,72.2,8.1,5.2,70.6,36.2,30.3,3.5,7.9,-125000,11460,151531,NA,1970,14124775068.569,NA,NA,NA,66.4,25.2,77.9,0.7,252,2.1,44.2,19.3,14.9,29.4,15.1,711,0.2,100,7.3,21.7,76.4,0.06,NA,NA,93.7,63.5,1,11.3,25.5,4.6,124,4.5,17.3,0.813,NA,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-1.21097629827732,12.2226142375001,26.839990234375,25.9800048828125,28.6400085449219,33.2799926757813,28.6849990844727,20903278,645,43,506,30.8564044357062,2.05709362904708,24.2067296813447,0.083997845182476,709.833308469836,18352.3619975856,1.59488842250373e-78,1.39818911328582e-111,0,1,24,0.068362641717279,53.4548869094459,18357.6979486367,3.06267500113822e-48,9.2363086498321e-66,0,1,7,0.063855440959828,839.098310731789,18370.4460458866,1.69564574640684e-35,2.27095536836262e-34,1.7e-322,1,21,2020-03-10,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGD,Bangladesh,161356039,70.6,74.3,27.7,67.1,1239.6,5.5,2,63.4,20.3,15,5.5,1.1,-1847503,21036,5984155.2,2827000,4570,274024958965.892,NA,NA,NA,59,38.6,44.6,NA,3135.1,1.4,70.6,11,4.6,36.6,18.1,680,0.5,100,9.2,21.6,30.2,0.48,NA,1.5,115,NA,1.1,46.9,88,0.8,110,3.4,26.7,0.817,83.7,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia,89.8593376179825,23.6777160645001,20.4999938964844,19.5400024414063,22.2499938964844,27.5400024414063,22.4574981689453,164689383,7667,168,160,46.5543064181618,1.0201021883724,0.971525893687998,0.070959160131234,19206.3442105057,18381.0380277715,8.79280862181941e-65,2.56265553420497e-47,0,1,35,0.089204553960168,250.456784999613,18371.2380158536,2.20851647346434e-43,5.04819068084843e-47,0,1,13,0.008996593572943,282597.836648065,18605.5342693545,8.70573668911e-4,0.681531320864704,3.15419583664599e-125,1,67,2020-03-08,53,70239,426.493795292196,samples tested,2020-05-01,NA,NA,NA,NA,NA
BGR,Bulgaria,7025037,71.5,78.4,14.6,64.4,64.7,15.4,1.6,25,63.8,68.1,21.3,NA,-24001,627,1022645,217200,22300,65132951116.4756,NA,7.5,40.4,55.4,6.4,79.4,0.8,3311.3,1.7,46.3,35.4,34.7,75,NA,2907,5.9,100,6,23.6,7.1,NA,6.8,NA,89.3,89.8,1,83.7,100,11.7,115,27.4,42.7,0.919,210,2. Developed region: nonG7,3. Upper middle income,Europe,Europe,Eastern Europe,Europe & Central Asia,25.1896826548285,42.7322248335,1.57000122070315,-0.590002441406227,1.35000000000002,2.61000976562502,1.23500213623049,6948445,1506,66,266,216.739140915701,9.4985280879391,38.2819465362394,0.024429030541109,5551.43504219092,18393.8895634138,5.55384374042953e-19,3.88464177816965e-7,1.17280916939686e-240,1,29,0.051091715671762,105.524592906049,18368.6238413595,6.85646608314379e-40,1.75307249013109e-37,1.8887725e-317,1,10,0.059509277389911,456.391562041309,18373.3258630437,2.29287701514758e-24,5.53208531836999e-20,1.28062694055732e-300,1,23,2020-03-08,53,48618,6996.96119059732,tests performed,2020-05-03,NA,NA,NA,NA,NA
BHR,Bahrain,1569439,76.3,78.3,19.3,78.3,2017.3,2.4,2,10.7,67.4,75.4,NA,NA,239000,543,5877003,432200,44700,37746196808.5106,NA,NA,NA,73.4,1,51.6,NA,321.5,3.6,11.1,0.8,6.6,89.3,NA,3,23.5,100,15.6,11.3,7.1,NA,2.1,NA,101.2,99.5,1,NA,100,12.7,NA,28.7,32.3,0.72,NA,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa,50.5447870791991,26.0020816100001,19.85,17.0700012207031,19.35,22.8900085449219,19.7900024414063,1701583,3040,8,1500,1786.57168060565,4.70150442264644,881.532079246208,0.013233165450767,101694.581727427,18476.2027483017,6.87053535077449e-11,0.091054915544304,5.0190172124015e-183,1,43,0.06736719778162,9.02137567876508,18349.6593749401,1.76362057375311e-24,8.59291502644611e-47,0,1,9,0.013397058528396,41594.6992629344,18472.5094054524,1.40296100876908e-8,0.14109171091553,6.30781540382967e-177,1,41,2020-02-24,66,143030,84057.0221963901,units unclear,2020-05-03,NA,NA,NA,NA,NA
BHS,"Bahamas, The",385640,71.5,75.9,22.5,70.3,38.5,6.8,1.8,17,41.2,34.5,NA,NA,4999,418,1197116.2,939065,30330,12424500000,NA,NA,NA,74.6,2.1,83.5,NA,19.8,NA,1.4,51.4,36.6,83,NA,1889,6.5,100,8.8,15.5,10.2,1.94,2.9,NA,NA,76.5,NA,NA,100,77.2,114,32.1,32,0.52,NA,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean,-78.3354922309991,26.6528201965001,23.2099853515625,22.2400146484375,22.9599853515625,24.2700134277344,23.1699996948242,393248,81,11,25,205.976889901538,27.9721702335422,63.5731141671413,0.059701156347212,112.993487326426,18362.7001967438,2.56224484915501e-40,2.01813466484546e-47,0,1,25,0.203934934886519,10.3730759103074,18356.895887498,1.71243313895782e-26,8.32820970431341e-81,0,1,13,0.014874629259002,5887.47830582937,18495.6559304236,0.006831674514712,0.660168145999051,5.45778491451953e-141,1,51,2020-03-16,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,3323929,74.8,79.7,14.8,68.8,64.9,10.7,1.3,51.8,56.4,40.1,11.6,1.7,-107926,16964,NA,NA,14580,20161865419.4327,NA,NA,NA,46.4,15.4,61,0.2,703.8,1.1,43.1,42.7,1.4,48.2,21.1,10195,6.4,100,9,17.8,5.8,NA,3.5,NA,NA,NA,NA,92.1,100,12.7,130,19.4,42.1,NA,NA,6. Developing region,3. Upper middle income,Europe,Europe,Southern Europe,Europe & Central Asia,17.9356816411729,43.918999939,2.7600036621094,0.839990234375023,2.9999938964844,4.0100036621094,2.65249786376955,3280815,1757,69,727,535.537663659792,21.0313595859565,221.591281434644,0.063753912442217,2098.50949603858,18359.6025391477,9.40025409709004e-68,1.74471570149247e-81,0,1,26,0.084961106951313,71.6550111136497,18358.6459869354,2.09448078325018e-39,6.24800963982596e-62,0,1,8,0.066449004881223,1412.68640338733,18375.3909040772,7.52011322431693e-51,5.84193715809065e-43,0,1,20,2020-03-05,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0.617,NA,2. Developed region: nonG7,1. High income: OECD,North America,Americas,Caribbean,Latin America & Caribbean,-62.8291630605518,17.9104474955001,27.5200134277344,26.7900024414063,26.7000061035156,26.4399963378906,26.8625045776367,9885,6,0,6,606.980273141123,0,606.980273141123,0.072996902265429,6.64040245742376,18335.7079089345,5.97453232762876e-13,3.41489766971974e-43,5.912598e-317,1,14,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.139072146651282,6.88016050767123,18363.0640987652,1.24014654889809e-15,2.95575479142194e-40,0,1,48,2020-03-04,57,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,9483499,69.2,79.4,16.9,68.3,46.7,12.7,1.4,21.4,66.6,66.8,11.8,0.2,43648,3539,2760168,NA,19240,59662495092.2654,5.6,0.8,25.4,64.1,11,80.5,0.6,1179.8,1.3,42,42.6,9.4,78.6,NA,3589,6.7,100,5,23.7,3.4,NA,11,4.9,102,101.7,1,96.3,100,2.9,133,26.6,44.1,0.703,102.5,6. Developing region,3. Upper middle income,Europe,Europe,Eastern Europe,Europe & Central Asia,28.0187285010075,53.6994365440001,1.83999023437502,1.08999023437502,1.90999755859377,3.8699890136719,2.17749176025393,9449321,14027,89,2386,1484.44528448129,9.41866616659546,252.504915432548,0.041264376172159,70744.8230571771,18393.7049595251,3.05448646716705e-36,1.50231511175391e-13,1.23411541306903e-284,1,22,0.068514842722829,141.60217809708,18372.1035987216,9.95535573602167e-50,3.35788167537617e-47,0,1,9,0.048732590356639,22236.9739325265,18398.2727426584,1.65098402646448e-8,0.03905560097591,3.05125012804758e-237,1,37,2020-02-28,62,186262,19711.6808710382,tests performed,2020-05-01,NA,NA,NA,NA,NA
BLZ,Belize,383071,71.6,77.7,30.3,65,16.8,4.7,2.3,54.3,58.4,55,9.7,2,6000,69,1297533.2,45268,7810,1871203164.08275,NA,NA,NA,65.1,16.8,61.9,NA,9.1,1.3,7,59.7,37.7,45.7,NA,43185,1.4,100,17.1,22.1,13,1.13,0.9,7.1,113.2,102.6,1,83.5,98.3,45.2,120,22.4,22.7,0.769,68,6. Developing region,4. Lower middle income,North America,Americas,Central America,Latin America & Caribbean,-88.7244119753538,17.1975568705001,22.6799865722656,23.110009765625,23.9500061035156,25.1599975585938,23.725,397621,18,2,9,45.2692387977496,5.02991542197218,22.6346193988748,0.189387911587166,19.0979474550154,18357.8605988104,3.98517884319386e-24,1.83189487737388e-73,0,1,27,0.48260660204623,2.02045190610789,18358.4918747657,2.45212260801845e-21,1.41309851982049e-96,0,1,16,0.14784054376086,15.6553796615969,18377.5603801524,2.56358602581816e-10,1.70428029743284e-9,3.9787118693e-314,1,14,2020-03-23,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
